Orig,New
Part,Part
P,P
Prtcl,Prtcl
N,N
?-Vt-Nzr,N
Pers-Vi-T/A,Vi
Pers-Vi,Vi
V,V
Pers-N,N
Vt-Pers-Agr,Vt
Vi-T/A2,Vi
Pro,Pro
Pers-Vi-T/A2,Vi
Adv,Adv
Vint-T/A2,Vi
?-Vi-Nzr,N
Vt,Vt
1-P,P
?-V-Nzr,N
Adv-Nzr-Nsfx,N
Vi,Vi
Pro-Azr,A
Vi-Nzr,N
P-Num-Nzr,N
Vt-Asp-T/A2,Vt
N-Ninfl,N
N-Ninfl-Nsfx,N
V-T/A1,V
Pers-N-Ninfl-Nsfx,N
Vt-Nzr,N
N-Azr,A
Conj,Conj
Pers-Nzr-Vt-T/A2,N
Vt-Pers-Agr-Prtcl,Vt
Vt-Nzr-Pers-Agr,N
Pos-Ninfl,P
Pers-Vi-Asp-Nzr,Vi
P-Num,P
Pers-Vi-T/A1,Vi
Vt-T/A,Vt
Pers-N-Azr,A
Pers?-Vi-T/A2,Vi
Pers-Vint-T/A2,Vi
Adv-N-Ninfl-Azr,A
N-Azr-Num,A
Vt-Asp-Nzr,N
Pro-Num,Pro
Pers-Vi-T/A1-Rel-Num,Vi
Vt-Pers-Agr-Num,Vt
Pers-Vt-T/A2-Prtcl,Vt
Vt-T/A2-Pers-Agr,Vt
Vi-Asp-T/A1,Vi
V-T/A,V
N-NDer-Nzr,N
Pers-Vt-Pers-Agr,Vt
V-Imp,V
Pers-Vt-T/A,Vt
Pers-Vi-T/A1-Rel,Vi
Vt-Asp,Vt
Pers-Vi-T/A2?,Vi
N-Prtcl,N
V-Pers-Agr,V
?-Vi-Asp-Nzr,N
Pers-Vt-Asp-T/A,Vt
Pers-Vt-T/A2-Nsfx,Vt
Pers-Vt-T/A2,Vt
Pro-?,Pro
Vt-nzr,N
P-Nzr,N
Pers-Vint,Vi
Vi-Asp-T/A2,Vi
Pers-Vt-Asp,Vt
?-Vint-Nzr,N
Pro-Agr,Pro
Nzr-Vt-Nzr,N
Vt-Nzr-Prtcl,N
Pers-Vi-VDer,Vi
Vi-Asp,Vi
Pers-Vt-Asp-T/A2,Vt
Adv-Nzr,N
Pers-Vi-Asp-T/A1,Vi
V-Imper,V
Vt-Asp-Pers-Agr,Vt
Pers-Vi-Asp,Vi
Pers-Vt-Asp-Pers-Agr,Vt
Pers-Vi-T/A1-Prtcl,Vi
Pers-Vt-Nzr,N
Vi-VDer-T/A2-Pers-Agr,Vt
Pers-Vt-T/A2-Pers-Agr,Vt
Pers-N-Prtcl,N
Pers-Vi-Vinfl,Vi
Pers-V-Pers-Agr,V
Pers-N-Ninfl,N
Pers-Vi-Nzr,Vi
Vi-Pers-Nzr,N
Pers-Vi-Asp-T/A1-Prtcl,Vi
Nzr-Vt-T/A2,N
Vi-VDer-Nzr,N
Pers-Vi-T/A2-NTns,Vi
Vi-Vinfl-Nzr,N
N-Ninfl-Ninfl,N
V-Nzr,N
N-Nzr,N
N-VDer-Nzr,N
P-Nzr-Nsfx,N
Pers?-Vi-Nzr,N
Pers-Vi-Asp-T/A2,Vi
WH-Azr,A
?-N-Azr,A
?-N-Ninfl-Azr,A
Vi-nzr,N
Pers-Vi-Asp-T/A1-Rel,Vi
Pers-Vi-Asp-?,Vi
Pers-Intr-Vi-Asp-T/A2,Vi
Pers-Vi-Imp,Vi
Pers-V-Imper,V
Vi-Azr,A
Pers-Vt-Nzr-Nsfx,N
?-Vi-Nzr-Nsfx,N
Pers-Vi-Nsfx,Vi
Pers-Vt-Asp-Nzr-Nsfx,N
Pers-Vt-T/A2-Nsfx-Azr,Vt
Pers-Vi-T/A2?-?,Vi
N-NinflN,N
Num-Nzr,N
Pers-Vt-T/A2?-Pers-Agr,Vt
Pers-Vi-VDer-Pers-Agr,Vi
?-Vint-Asp-Nzr,N
Pers-Vi-T/A2Prtcl,Vi
Vt-Nzr-Num,N
Pro-Nzr,N
Adv-nzr-Nsfx,N
Dem-Azr,A
Vt-nzr-Num,N
N-Ninfl-N,N
Pers-Vi-T/A2-Nsfx,Vi
Prs-Vi-T/A2,Vi
Imp-V-Imp,V
Pers-Vi-Vdrv,Vi
Pers-Vint-Num,Vi
N-Nsfx-Azr,A
Nzr-Vt-Nsfx,N
Vt-Vinfl-Nzr,N
Pers-Vint-Asp-T/A1,Vi
?-Intr-Dem.Pro-Nzr,N
Vt-Asp-Nzr-Num,N
Pers-Vi-T/A1-?,Vi
?-V-Asp-Nzr,N
Pers-Vi-Asp-T/A2-?,Vi
Vt-Asp-Nzr-NTns,N
Pers-V-Nzr,N
Vi-VDer-T/A2,Vt
Vt-Nzr-NTns,N
