ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Part_Of_Speech,Source,Media_ID,Discont_NP,Syntactic_Role
dados-07-frog-story-marciano-p-089-015,tri,"Atï=hpe sen, tahken, pïtai tahken menen pïtai=rë, pïtai, boota sen.",atï	hpe	senï	tahkene	pïtai	tahkene	m-ene-0-n	pïtai	rë	pïtai	boota	senï,wh.In	Indef	3InPx	maybe	shoe	maybe	2A-see-Pres-Dbt	shoe	Idtf	shoe	boot	3InPx,"What is that, maybe, a shoe maybe, do you see, it's really a shoe, a shoe, it's a boot.",,pïtai 'shoe' twice,Intrg	Ptc	DPro	Ptc	N	Ptc	V	N	Ptc	N	N	DPro	…,meiraDBtrio,,?,
dados-07-frog-story-marciano-p-089-032,tri,"mëe nïtën okomo awekïï=ton, ir=apo.",mëe	nï-të-0-n	okomo	awekïï	ton	irë	apo,3AnPx	3Sa-go-Pres-Dbt	wasp	bee.sp	Col	3InAna	like,"they went, the bees, like that.",,[*mëe*] V [okomo awekïï=ton],DPro	V	N	N	Ptc	Pro	Pp	…,meiraDBtrio,,y,s
dados-07-frog-story-marciano-p-089-037,tri,"irëme mëe kaikui sokanme nee=neejan, eekaa=se.",irëme	mëe	kaikui	sokanme	E.RD-n-ee-ja-n	0-eeka-0	se,so	3AnPx	dog	standing	Iter-3Sa-Cop-Pres-Dbt	3-bite-G	Desid,"then this one, the dog, stood up, (he) wanted to bite it (= the beehive).",,,Ptc	DPro	N	A	V	N	Pp	…,meiraDBtrio,,np,
dados-07-frog-story-marciano-p-091-045,tri,Oota ene=marë tïwënaanuuse wewe serë mono tootake teese.,oota	0-ene-0	marë	tï-w-ënaanuu-se	wewe	serë	mono	t-oota-ke	t-0-ee-se,hole	3O-see-Sup	too	Pst-Sa-go.up-Pst	tree	3InPx	big	T-hole-Having	Pst-Sa-Cop-Pst,"He climbed up to see the hole, this big tree had a hole.  ",,,N	A	Ptc	V	N	DPro	N	A	V	…,meiraDBtrio,,np,
dados-07-frog-story-marciano-p-091-047,tri,"Irënpë=pëe wewe tootaken=pëe teepatakae, jeepurutu",irë-npë	pëe	wewe	t-oota-ke-n	pëe	t-V:-e-pataka-e	jeepurutu,3InAna-Pst	from	tree	T-hole-Having-Ent	from	Pst-Sa-Detr-take.out-Pst	owl.sp,"Then from the tree with a whole came, an owl,  ",,Very interesting that *wewe* does not have a postposition.,Pro	Pp	N	N	Pp	V	N	…,meiraDBtrio,,np_arg,?
dados-07-frog-story-marciano-p-093-094,tri,Mëe=ja tïtomekae entupisi=ja përëru tïtomekae,mëe	ja	tï-tomeka-e	0-entu-pisi	ja	përëru	tï-tomeka-e,3AnPx	Agt	Pst-get?-Pst	3-owner-Dim	Agt	toad.sp	Pst-get?-Pst,"He took it, his little owner took the frog",,Actually two clauses.,DPro	Pp	V	N	Pp	N	V	…,meiraDBtrio,,n,
dados-09-kereramake-p-033-075,tri,"(Ape) Ma, kiiponoojati Përëpërëwa kïtamuu=kon,",Ape	ma	kii-ponoo-ja-ti	Përëpërëwa	kï-tamu-V:	kon,Ape	Attn	1+2A-tell-Pres-Col	Përëpërëwa	1+2-grandpa-Psfx	P.col,"(Ape) Well, we are telling (the story of) Përëpërëwa our ancestor,  ",,Rare “NP” (with personal name),N	Ptc	V	N	N	Ptc	…,meiraDBtrio,,np,
dados-09-kereramake-p-033-077,tri,"(Ape) iwëtïrïhpë nërë kïtamuu=kon, Përëpërëwa.",Ape	i-w-ëtï-rï-0-hpë	nërë	kï-tamu-V:	kon	Përëpërëwa,Ape	3-Sa-Detr-make-G-P.pst	3AnAna	1+2-grandpa-Psfx	P.col	Përëpërëwa,"(Ape) he is the one who made himself, our ancestor, Përëpërëwa.  ",,Rare “NP” (with personal name),N	N	Pro	N	Ptc	N	…,meiraDBtrio,,np,
dados-09-kereramake-p-041-269,tri,"(Ape) Neejan mono kanawa tïïkae, irë=hkaasan kurano,",Ape	n-ee-ja-n	mono	kanawa	tï-V:-ka-e	irë	hkaasan	kura-no,Ape	3Sa-come-Pres-Dbt	big	canoe	Pst-Sa-say-Pst	3InAna	instead	good-Ent,"(Ape) 'A big canoe is coming', (she) said, 'that is good (= i.e. not the one you have),'",,Is the second clause NVP?,N	V	N	N	V	Pro	Ptc	N	…,meiraDBtrio,,np,
dados-09-kereramake-p-041-270,tri,"(Ape) sen=nai... tuna mono juuwë iitën=mahtao, nemanakan tïïkae.",Ape	sen	n-ai	tuna	mono	juuwë	i-V:-të-0-n	mahtao	n-e-manaka-0-n	tï-V:-ka-e,Ape	3InPx	3Sa-Cop	water	big	on	3-Sa-go-G-?	when	3Sa-Detr-roll-Pres-Dbt	Pst-Sa-say-Pst,"(Ape) 'This one is... when it's on a big river, it turns,' (she) said.",,"*tuna mono juuwë*, N N POSTP!",N	DPro	V	N	N	Pp	N	Ptc	V	V	…,meiraDBtrio,,np_arg,
dados-09-kereramake-p-043-278,tri,(Ape) Wëën... mëërë teetainkae tamutupë.,Ape	wëën	mëërë	t-V:-etainka-e	tamutupë,Ape	run	3AnMd	Pst-Sa-run-Pst	old.man,"(Ape) /wëën/... that one ran, the old man (= i.e. Përëpërëwa).  ",,[*mëërë*] V [tamutupë],N	Ideo	DPro	V	N	…,meiraDBtrio,,y,s
dados-09-kereramake-p-045-323,tri,(Ape) Ëwë aamuurëtoo=me mëërë=ja kaikë=ja.,Ape	ëwë	0-aamuurë-too	me	mëërë	ja	kaikë	ja,Ape	later	3-harass-Circ	Ess	3AnMd	Agt	fox	Agt,(Ape) (They were) later to be harassed by the fox.,,[mëërë *ja*] [kaike *ja*],N	A	N	Ptc	DPro	Pp	N	Pp	…,meiraDBtrio,,posp,a
dados-09-kereramake-p-045-324,tri,(Ape) Nërë=ja tënëtoo=me mëërë wërinpë.,Ape	nërë	ja	t-ënë-too	me	mëërë	wëri-npë,Ape	3AnAna	Agt	Gen-eat.meat-Circ	Ess	3AnMd	woman-Pst,(Ape) The woman (is to) be eaten by him.,,,N	Pro	Pp	N	Ptc	DPro	N	…,meiraDBtrio,,np,
dados-07-frog-story-marciano-p-093-096,tri,"Mëesamo=inëërë përëru=ton tïwëtakaase=ken,",mëesamo	inëërë	përëru	ton	tï-w-ët-akaa-se	ken,3AnPxCl	really	toad.sp	Col	Pst-Sa-Detr-put.in.order-Pst	Cont,"It's them, the frogs, they're forming a line,  ",,[*mëesamo inëërë*] [*përëru ton*],DPro	Ptc	N	Ptc	A	Ptc	…,meiraDBtrio,,part,s
