ID,Example_ID,Language_ID,Text_ID,Original_Primary_Text,Primary_Text,Analyzed_Word,Analyzed_Word_Morphemes,Gloss,Part_Of_Speech,Original_Translated_Text,Translated_Text,Comment,Pattern,Discontinuous,Intervening,Animacy,Type,Order,Argument,Role,Positions,Value,Particle,Genre,Source
dados-07-frog-story-marciano-p-089-015,dados-07-frog-story-marciano-p-089-015,tri,dados-07-frog-story-marciano,,"Atï=hpe sen, tahken, pïtai tahken menen pïtai=rë, pïtai, boota sen.",atï	hpe	senï	tahkene	pïtai	tahkene	m-ene-0-n	pïtai	rë	pïtai	boota	senï,atï   hpe   senï  tahkene pïtai tahkene m-   ene -ja   -në  pïtai rë   pïtai  boota senï,wh.In	Indef	3InPx	maybe	shoe	maybe	2A-see-Pres-Dbt	shoe	Idtf	shoe	boot	3InPx,Intrg	Ptc	DPro	Ptc	N	Ptc	V	N	Ptc	N	N	DPro	,,"What is that, maybe, a shoe maybe, do you see, it's really a shoe, a shoe, it's a boot.","pïtai 'shoe' twice, disfluency",,,,,,,,,,X,,stimulus-story,meiraDBtrio
dados-07-frog-story-marciano-p-089-032,dados-07-frog-story-marciano-p-089-032,tri,dados-07-frog-story-marciano,,"mëe nïtën okomo awekïï=ton, ir=apo.",**mëe**	nï-të-0-n	**okomo**	**awekïï**	ton	irë	apo,mëe   n-   të -ja   -në  okomo   awekïï tomo  irë    apo,3AnPx	3Sa-go-Pres-Dbt	wasp	bee.sp	Col	3InAna	like,DPro	V	N	N	Ptc	Pro	Pp	,,"they went, the bees, like that.",[*mëe*] V [okomo awekïï=ton]; not clear what wasps are doing here,DEM Vi N Nmod,True,Vi,anim,DEM+N,DEM N Nmod,False,s,"1,3,4",y,,stimulus-story,meiraDBtrio
dados-07-frog-story-marciano-p-089-037,dados-07-frog-story-marciano-p-089-037,tri,dados-07-frog-story-marciano,,"irëme mëe kaikui sokanme nee=neejan, eekaa=se.",irëme	**mëe**	**kaikui**	sokanme	E.RD-n-ee-ja-n	0-eeka-0	se,irëme mëe   kaikui sokanme   E.RD- n-   ei  -ja   -në  0-   eeka -0   se,so	3AnPx	dog	standing	Iter-3Sa-Cop-Pres-Dbt	3-bite-G	Desid,Ptc	DPro	N	A	V	N	Pp	,,"then this one, the dog, stood up, (he) wanted to bite it (= the beehive).",,DEM N,False,,anim,DEM+N,DEM N,False,s,"2,3",np,,stimulus-story,meiraDBtrio
dados-07-frog-story-marciano-p-091-045,dados-07-frog-story-marciano-p-091-045,tri,dados-07-frog-story-marciano,,Oota ene=marë tïwënaanuuse wewe serë mono tootake teese.,oota	0-ene-0	marë	tï-w-ënaanuu-se	**wewe**	**serë**	**mono**	t-oota-ke	t-0-ee-se,oota  0-   ene -se  marë t-   w-   ënaanuku -se  wewe   serë  mono   t-   oota -ke     t-   w-   ei  -se,hole	3O-see-Sup	too	Pst-Sa-go.up-Pst	tree	3InPx	big	T-hole-Having	Pst-Sa-Cop-Pst,N	A	Ptc	V	N	DPro	N	A	V	,,"He climbed up to see the hole, this big tree had a hole.  ",,N DEM N,False,,inan,DEM+N,N DEM N,False,s,"5,6,7",np,,stimulus-story,meiraDBtrio
dados-07-frog-story-marciano-p-091-047,dados-07-frog-story-marciano-p-091-047,tri,dados-07-frog-story-marciano,,"Irënpë=pëe wewe tootaken=pëe teepatakae, jeepurutu",irë-npë	pëe	**wewe**	**t-oota-ke-n**	pëe	t-V:-e-pataka-e	jeepurutu,irë    -npë pëe  wewe   t-   oota -ke     -mï  pëe  t-   w-   et-   pataka   -se  jeepurutu,3InAna-Pst	from	tree	T-hole-Having-Ent	from	Pst-Sa-Detr-take.out-Pst	owl.sp,Pro	Pp	N	N	Pp	V	N	,,Then from the tree with a hole came an owl.,Very interesting that *wewe* does not have a postposition.,N Nmod POSP,False,,inan,N+N,N Nmod,True,obl,"3,4",np_arg,,stimulus-story,meiraDBtrio
dados-07-frog-story-marciano-p-093-094,dados-07-frog-story-marciano-p-093-094,tri,dados-07-frog-story-marciano,,Mëe=ja tïtomekae entupisi=ja përëru tïtomekae,mëe	ja	tï-tomeka-e	0-entu-pisi	ja	përëru	tï-tomeka-e,mëe   ja  t-   tomeka -se  0-   entu  -pisikë ja  përëru  t-   tomeka -se,3AnPx	Agt	Pst-get?-Pst	3-owner-Dim	Agt	toad.sp	Pst-get?-Pst,DPro	Pp	V	N	Pp	N	V	,,"He took it, his little owner took the frog",Actually two clauses.,,,,,,,,,,n,,stimulus-story,meiraDBtrio
dados-09-kereramake-p-033-075,dados-09-kereramake-p-033-075,tri,dados-09-kereramake,,"(Ape) Ma, kiiponoojati Përëpërëwa kïtamuu=kon,",Ape	ma	kii-ponoo-ja-ti	**Përëpërëwa**	**kï-tamu-V:**	kon,Ape   ma   kït-  ponopï -ja   -tii Përëpërëwa    k-   tamu      -rï   komo,Ape	Attn	1+2A-tell-Pres-Col	Përëpërëwa	1+2-grandpa-Psfx	P.col,N	Ptc	V	N	N	Ptc	,,"(Ape) Well, we are telling (the story of) Përëpërëwa our ancestor,  ",Rare “NP” (with personal name),N Nmod PART,False,,hum,N+N,N Nmod,False,p,"4,5",np,,story,meiraDBtrio
dados-09-kereramake-p-033-077,dados-09-kereramake-p-033-077,tri,dados-09-kereramake,,"(Ape) iwëtïrïhpë nërë kïtamuu=kon, Përëpërëwa.",Ape	i-w-ëtï-rï-0-hpë	**nërë**	**kï-tamu-V:**	kon	Përëpërëwa,Ape   i-   w-   ët-   rï   -0   -hpë   nërë   k-   tamu    -rï   komo  Përëpërëwa,Ape	3-Sa-Detr-make-G-P.pst	3AnAna	1+2-grandpa-Psfx	P.col	Përëpërëwa,N	N	Pro	N	Ptc	N	,,"(Ape) he is the one who made himself, our ancestor, Përëpërëwa.  ",Rare “NP” (with personal name),DEM N,False,,hum,DEM+N,DEM N,False,s_nvp,"3,4",np,,story,meiraDBtrio
dados-09-kereramake-p-041-269,dados-09-kereramake-p-041-269,tri,dados-09-kereramake,,"(Ape) Neejan mono kanawa tïïkae, irë=hkaasan kurano,",Ape	n-ee-ja-n	**mono**	**kanawa**	tï-V:-ka-e	irë	hkaasan	kura-no,Ape   n-   ëepï -ja   -në  mono   kanawa   t-   w-   ka  -se   irë    hkaasan kure -no,Ape	3Sa-come-Pres-Dbt	big	canoe	Pst-Sa-say-Pst	3InAna	instead	good-Ent,N	V	N	N	V	Pro	Ptc	N	,,"(Ape) 'A big canoe is coming', (she) said, 'that is good (= i.e. not the one you have),'",,Nmod N,False,,inan,N+N,Nmod N,False,s,"3,4",np,,story,meiraDBtrio
dados-09-kereramake-p-041-270,dados-09-kereramake-p-041-270,tri,dados-09-kereramake,,"(Ape) sen=nai... tuna mono juuwë iitën=mahtao, nemanakan tïïkae.",Ape	sen	n-ai	**tuna**	**mono**	juuwë	i-V:-të-0-n	mahtao	n-e-manaka-0-n	tï-V:-ka-e,Ape   senï  n-   a   tuna  mono  juuwë  i-   w-   të -0   -n    mahtao n-   et-   manaka -ja   -në  t-   w-   ka  -se,Ape	3InPx	3Sa-Cop	water	big	on	3-Sa-go-G-?	when	3Sa-Detr-roll-Pres-Dbt	Pst-Sa-say-Pst,N	DPro	V	N	N	Pp	N	Ptc	V	V	,,"(Ape) 'This one is... when it's on a big river, it turns,' (she) said.","*tuna mono juuwë*, N N POSTP!",N Nmod POSP,False,,inan,N+N,N Nmod,True,obl,"4,5",np_arg,,story,meiraDBtrio
