Example_ID,Value,Comment,Pattern,Role,Animacy,Positions,Particle
convwho-010,?,,,,,,
convwho-012,np,*möönü judumatommaane kaawede* -- not the argument,DEM ADV N,p,inan,"2,3,4",
convwho-014,n,,,,,,
convwho-020,n,,,,,,
convwho-022,n,,,,,,
convwho-025,n,,,,,,
convwho-028,part,'did you bring *good lightbulbs*?’,N PART N,p,inan,"1,3",ka
convwho-031,part,,NUM PART N,p,inan,"1,3",tü
convwho-044,n,,,,,,
convwho-047,n,,,,,,
convwho-048,n,,,,,,
convwho-051,n,elaboration pattern,,,,,
convwho-058,np,,N N DEM,s_nvp,inan,"1,2,3",
convwho-064,n,,,,,,
ctoabjpic-001,n,,,,,,
ctoabjpic-002,n,,,,,,
ctoabjpic-003,n,afterthought,,,,,
ctoabjpic-004,n,,,,,,
ctoabjpic-006,n,,,,,,
ctoabjpic-008,y,"afterthought-ish, but the number is not repeated",NUM n N,p,inan,"1,3,4",
ctoabjpic-010,n,,,,,,
ctoabjpic-013,n,,,,,,
ctoabjpic-015,n,,,,,,
ctoabjpic-016,y,"1) elaboration pattern, 2) how are *tüwü* and *ñöödö* related? Note that the original transcription says *tüwü küntömö yaawö, ñöödö akudi küntömö unwa*, which clearly does not match the audio!",DEM V PART DEM,s,hum,"1,4",yaawö
ctoabjpic-018,n,,,,,,
ctoabjpic-020,np,,DEM N POSTP,obl,inan,"1,2",
ctoabjpic-025,n,treating *tüwü* as a false start,,,,,
ctoabjpic-027,np,,DEM N,possr,hum,"1,2",
ctoabjpic-029,n,,,,,,
ctoabjpic-031,n,,,,,,
ctoabjpic-007,n,afterthought,,,,,
ctoabjpic-019,n,,,,,,
ctoabjpic-032,n,afterthought,,,,,
ctoabjpic-035,np,*aakö tünküi*,NUM N,p,inan,"1,2",
ctoabjpic-036,n,elaboration pattern,,,,,
ctoabjpic-038,n,,,,,,
ctoabjpic-043,n,,,,,,
ctoabjpic-045,n,,,,,,
ctoabjpic-048,n,,,,,,
ctoabjpic-050,n,,,,,,
ctoabjpic-051,np,,DEM N,?,inan,"1,2",
ctoabjpic-053,n,,,,,,
ctoabjpic-054,n,,,,,,
