ID,Value,Comment,Syntactic_Role,Particle
dados-01-juliana3-p-005-001,n,,,
dados-01-juliana3-p-005-003,n,,,
dados-01-juliana3-p-005-004,n,,,
dados-07-frog-story-marciano-p-089-001,n,,,
dados-07-frog-story-marciano-p-089-003,n,,,
dados-07-frog-story-marciano-p-089-004,n,,,
dados-07-frog-story-marciano-p-089-010,n,,,
dados-07-frog-story-marciano-p-089-015,?,pïtai 'shoe' twice,,
dados-07-frog-story-marciano-p-089-016,n,,,
dados-07-frog-story-marciano-p-089-019,n,,,
dados-07-frog-story-marciano-p-089-020,n,,,
dados-07-frog-story-marciano-p-089-022,n,,,
dados-07-frog-story-marciano-p-089-023,n,,,
dados-07-frog-story-marciano-p-089-027,n,,,
dados-07-frog-story-marciano-p-089-029,n,,,
dados-07-frog-story-marciano-p-089-030,n,,,
dados-07-frog-story-marciano-p-089-031,n,,,
dados-07-frog-story-marciano-p-089-032,y,[*mëe*] V [okomo awekïï=ton],s,
dados-07-frog-story-marciano-p-089-033,n,,,
dados-07-frog-story-marciano-p-089-034,n,,,
dados-07-frog-story-marciano-p-089-036,n,,,
dados-07-frog-story-marciano-p-089-037,np,,,
dados-07-frog-story-marciano-p-091-038,n,,,
dados-07-frog-story-marciano-p-091-041,n,,,
dados-07-frog-story-marciano-p-091-042,n,,,
dados-07-frog-story-marciano-p-091-044,n,,,
dados-07-frog-story-marciano-p-091-045,np,,,
dados-07-frog-story-marciano-p-091-047,np_arg,Very interesting that *wewe* does not have a postposition.,?,
dados-07-frog-story-marciano-p-091-049,n,,,
dados-07-frog-story-marciano-p-091-058,n,,,
dados-07-frog-story-marciano-p-091-061,n,,,
dados-07-frog-story-marciano-p-091-065,n,,,
dados-07-frog-story-marciano-p-091-066,n,,,
dados-07-frog-story-marciano-p-091-071,n,,,
dados-07-frog-story-marciano-p-091-072,n,,,
dados-07-frog-story-marciano-p-091-073,n,,,
dados-07-frog-story-marciano-p-093-086,n,,,
dados-07-frog-story-marciano-p-093-094,n,Actually two clauses.,,
dados-07-frog-story-marciano-p-093-097,n,,,
dados-09-kereramake-p-029-001,n,,,
dados-09-kereramake-p-029-003,n,,,
dados-09-kereramake-p-029-004,n,,,
dados-09-kereramake-p-029-005,n,,,
dados-09-kereramake-p-029-008,n,,,
dados-09-kereramake-p-029-009,n,,,
dados-09-kereramake-p-029-011,n,,,
dados-09-kereramake-p-029-012,n,,,
dados-09-kereramake-p-029-013,n,,,
dados-09-kereramake-p-029-014,n,,,
dados-09-kereramake-p-029-015,n,,,
dados-09-kereramake-p-029-016,n,,,
